
Ingredient_Name,INCI_Name,Primary_Function,Anti_Aging_Effectiveness,Acne_Effectiveness,Hyperpigmentation_Effectiveness,Hydration_Effectiveness,Sensitivity_Effectiveness,Clinical_Studies_Count,Evidence_Level,Optimal_Concentration_Min,Optimal_Concentration_Max,Time_To_Results_Weeks,Mechanism_Of_Action,Synergistic_Partners,Antagonistic_Ingredients,pH_Stability_Min,pH_Stability_Max,Molecular_Weight,Penetration_Ability,Cost_Effectiveness_Rating,Availability_Rating,Tolerability_Rating,Pregnancy_Safe,Breastfeeding_Safe,Usage_Notes_EN,Usage_Notes_AR
Retinol,Retinol,Anti-aging Active,9.5,8.5,8.0,6.0,4.0,150,Very High,0.25,1.0,8,Increases cell turnover and collagen synthesis,Vitamin C; Niacinamide; Hyaluronic Acid,Benzoyl Peroxide; AHA/BHA,5.5,7.0,286.45,High,8.5,9.0,6.0,No,No,Start with low concentration and gradually increase. Use only at night with sunscreen during day,ابدأ بتركيز منخفض وزد تدريجياً. استخدم ليلاً فقط مع واقي الشمس نهاراً
Niacinamide,Niacinamide,Multi-functional Active,7.5,8.0,7.5,7.0,8.5,120,Very High,2.0,10.0,4,Regulates sebum production and reduces inflammation,Hyaluronic Acid; Zinc; Retinol,Strong acids at same time,5.0,7.0,122.12,Medium,9.0,9.5,9.0,Yes,Yes,Well-tolerated by most skin types. Can be used morning and evening,مناسب لمعظم أنواع البشرة. يمكن استخدامه صباحاً ومساءً
Vitamin C (L-Ascorbic Acid),Ascorbic Acid,Antioxidant,8.5,6.0,8.5,6.5,7.0,200,Very High,10.0,20.0,6,Stimulates collagen synthesis and neutralizes free radicals,Vitamin E; Ferulic Acid; Hyaluronic Acid,Retinol; Benzoyl Peroxide,3.0,4.0,176.12,Medium,7.5,8.0,7.5,Yes,Yes,Use in morning with sunscreen. Store in cool dark place,استخدم صباحاً مع واقي الشمس. احفظ في مكان بارد ومظلم
Hyaluronic Acid (High MW),Sodium Hyaluronate,Humectant,6.0,3.0,2.0,9.5,9.0,180,Very High,0.1,2.0,2,Binds water molecules to skin surface,Vitamin C; Niacinamide; Ceramides,None known,4.0,8.0,1500000,Low,8.0,9.5,9.5,Yes,Yes,Apply to damp skin for best results. Suitable for all skin types,ضع على البشرة الرطبة للحصول على أفضل النتائج. مناسب لجميع أنواع البشرة
Hyaluronic Acid (Low MW),Hydrolyzed Hyaluronic Acid,Humectant,6.5,3.0,2.0,9.0,9.0,95,High,0.1,1.0,2,Penetrates deeper into skin layers,Vitamin C; Niacinamide; Peptides,None known,4.0,8.0,50000,High,8.5,9.0,9.5,Yes,Yes,Better penetration than high MW version. Use on clean skin,اختراق أفضل من النسخة عالية الوزن الجزيئي. استخدم على البشرة النظيفة
Salicylic Acid,Salicylic Acid,BHA Exfoliant,6.5,9.0,6.0,4.0,6.0,140,Very High,0.5,2.0,4,Penetrates pores and dissolves sebum,Niacinamide; Zinc; Tea Tree Oil,Retinol; Vitamin C,3.0,4.0,138.12,High,8.5,9.0,7.5,Yes,Yes,Start with lower concentrations. May cause initial dryness,ابدأ بتراكيز أقل. قد يسبب جفافاً في البداية
Glycolic Acid,Glycolic Acid,AHA Exfoliant,8.0,7.5,7.5,5.0,5.5,160,Very High,5.0,10.0,6,Removes dead skin cells and stimulates renewal,Hyaluronic Acid; Niacinamide; Vitamin C,Retinol; Benzoyl Peroxide,3.0,4.0,76.05,High,8.0,9.0,6.5,Yes,Yes,Use sunscreen during day. Start with lower concentrations,استخدم واقي الشمس نهاراً. ابدأ بتراكيز أقل
Lactic Acid,Lactic Acid,AHA Exfoliant,7.5,7.0,7.0,6.0,7.0,85,High,5.0,10.0,6,Gentle exfoliation with hydrating properties,Hyaluronic Acid; Ceramides; Niacinamide,Retinol; Strong acids,3.5,4.5,90.08,Medium,8.0,8.5,8.0,Yes,Yes,Gentler than glycolic acid. Good for sensitive skin,أكثر لطفاً من حمض الجليكوليك. مناسب للبشرة الحساسة
Azelaic Acid,Azelaic Acid,Multi-functional Active,7.0,8.5,8.5,5.0,8.0,75,High,10.0,20.0,8,Anti-inflammatory and antimicrobial action,Niacinamide; Hyaluronic Acid; Vitamin C,None known,4.0,6.0,188.22,Medium,7.5,7.0,8.5,Yes,Yes,Well-tolerated by sensitive skin. Can be used twice daily,مناسب للبشرة الحساسة. يمكن استخدامه مرتين يومياً
Kojic Acid,Kojic Acid,Skin Lightening,5.0,4.0,8.5,3.0,6.0,45,Medium,1.0,4.0,8,Inhibits tyrosinase enzyme,Vitamin C; Arbutin; Licorice Extract,Iron-containing products,4.0,6.5,142.11,Medium,6.5,7.0,7.0,Yes,Yes,May cause sensitivity in some users. Patch test recommended,قد يسبب حساسية لدى بعض المستخدمين. يُنصح بإجراء اختبار حساسية
